metric,candidate,validation_season,mae,rmse,poisson_deviance,actual_mean,predicted_mean
shots,poisson_linear,2022,3.615472161373542,4.584513813945852,1.6751587500034912,12.631578947368421,12.235994633304536
shots,poisson_linear,2023,3.95972718565708,5.205176546712625,1.94048381552615,13.792105263157895,12.357279343208733
shots,poisson_linear,2024,3.7359265586545116,4.837551270827407,1.8045505381177362,12.95921052631579,12.314878821439432
shots,poisson_histogram,2022,3.6218129832173243,4.609126220974498,1.7074052388906256,12.631578947368421,12.246222256231565
shots,poisson_histogram,2023,3.957051233937331,5.2179505410574825,1.9521856299868552,13.792105263157895,12.35505564669632
shots,poisson_histogram,2024,3.778568209103247,4.88645899639757,1.8436521377573063,12.95921052631579,12.45005088514662
shots_on_target,poisson_linear,2022,1.9323272809674181,2.352783472412124,1.3266117282701537,4.401315789473684,5.229254517484753
shots_on_target,poisson_linear,2023,1.898727953811261,2.393381620904712,1.155903670175803,4.934210526315789,5.1874048648453925
shots_on_target,poisson_linear,2024,1.8674295748529839,2.3336037425552023,1.2320947124810067,4.55,5.151544104037277
shots_on_target,poisson_histogram,2022,1.8392118362288838,2.2704688595378943,1.264404596273913,4.401315789473684,4.859985096165191
shots_on_target,poisson_histogram,2023,1.9164685765253981,2.4327761551934715,1.1917188194987056,4.934210526315789,4.993804905465448
shots_on_target,poisson_histogram,2024,1.8405776958403803,2.327887929024756,1.2329025124109254,4.55,4.93109513857182
corners,poisson_linear,2022,2.1730246656816425,2.7406915554487994,1.4909490323825687,5.053947368421053,5.404215186091746
corners,poisson_linear,2023,2.2442929012104584,2.8430607125128953,1.5593336133721936,5.418421052631579,5.39239015093659
corners,poisson_linear,2024,2.3061873728575977,2.862904196853253,1.6700656446410973,5.148684210526316,5.3610044347697325
corners,poisson_histogram,2022,2.1930100429513053,2.762958808912229,1.511903138328341,5.053947368421053,5.333884308481602
corners,poisson_histogram,2023,2.2594413530806943,2.864043082748122,1.580060967967128,5.418421052631579,5.3549735502882925
corners,poisson_histogram,2024,2.3447411683842283,2.9180614750716583,1.7210384828512277,5.148684210526316,5.328274851743778
fouls,poisson_linear,2022,2.794921030485339,3.4541992845368004,1.1074507350080836,10.764473684210527,11.403766996271624
fouls,poisson_linear,2023,2.849844884768869,3.544461857759867,1.1703550587617844,11.046052631578947,11.371118523519492
fouls,poisson_linear,2024,2.866644049553917,3.551638044611175,1.1917250970530424,11.032894736842104,11.331247634007088
fouls,poisson_histogram,2022,2.7426221262621624,3.4290501115474594,1.0862298188226776,10.764473684210527,11.299116909706715
fouls,poisson_histogram,2023,2.839054187060655,3.523994469335031,1.1555255832037648,11.046052631578947,11.281906002146355
fouls,poisson_histogram,2024,2.8380593822729328,3.545012777751314,1.1860281826454542,11.032894736842104,11.294554406596466
yellow_cards,poisson_linear,2022,1.0533779926829594,1.3178198315351084,1.1440373103751893,1.793421052631579,1.59283266544492
yellow_cards,poisson_linear,2023,1.1458045716501755,1.4519486506737032,1.1907205700829828,2.086842105263158,1.606207988278117
yellow_cards,poisson_linear,2024,1.125440217193157,1.4435846762196576,1.1919441135315199,2.025,1.6230840400472768
yellow_cards,poisson_histogram,2022,1.0499407605769258,1.3128623037285807,1.1377602747726896,1.793421052631579,1.5992417475125356
yellow_cards,poisson_histogram,2023,1.1465234095278463,1.4664855797593146,1.2271590298889556,2.086842105263158,1.5959038112972148
yellow_cards,poisson_histogram,2024,1.1249875389594257,1.439444535057398,1.1946910220061684,2.025,1.6445166384333414
