rank,feature,mean_abs_shap
1,diff_season_shot_dominance,0.14379112
2,diff_season_sot_dominance,0.12520352
3,diff_elo,0.091429636
4,diff_season_goal_diff,0.04220156
5,diff_season_sot_for,0.037098374
6,diff_last10_shot_dominance,0.034475643
7,diff_last5_shot_dominance,0.01801226
8,diff_season_shots_for,0.01619079
9,diff_season_goals_for,0.015127438
10,away_elo,0.0145536605
11,diff_last5_shots_for,0.01450815
12,diff_venue_last5_shot_dominance,0.013164609
13,diff_venue_last5_sot_for,0.012897453
14,diff_season_win,0.012517323
15,home_elo,0.012501143
16,diff_season_shots_against,0.012440063
17,diff_season_points,0.012193904
18,diff_last10_sot_dominance,0.0115769645
19,diff_venue_last5_shots_for,0.010799406
20,diff_last5_shots_against,0.010733735
21,diff_venue_last5_sot_dominance,0.010416547
22,diff_last5_sot_dominance,0.010211714
23,diff_venue_last5_shots_against,0.009848619
24,diff_last5_sot_for,0.0096491
25,diff_season_sot_against,0.009402531
26,diff_last10_sot_for,0.009163282
27,diff_last10_goal_diff,0.00894573
28,diff_venue_last5_sot_against,0.008629893
29,diff_last5_goal_diff,0.008628561
30,diff_last10_shots_against,0.008535246
31,diff_last5_shot_accuracy,0.008393423
32,home_last10_matches_available,0.008298456
33,home_season_matches_available,0.008258889
34,diff_last10_goals_against,0.008207366
35,away_season_matches_available,0.008069608
36,away_last5_matches_available,0.00802894
37,diff_season_goals_against,0.007996394
38,away_venue_last5_matches_available,0.007948636
39,diff_last5_goals_against,0.007881889
40,diff_venue_last5_points,0.007855908
41,diff_venue_last5_shot_accuracy,0.007845358
42,diff_last10_win,0.0078351535
43,home_venue_last5_matches_available,0.007759572
44,diff_venue_last5_conversion_rate,0.007731822
45,diff_last10_conversion_rate,0.0076693855
46,diff_venue_last5_goal_diff,0.007656575
47,diff_last10_shots_for,0.007636828
48,away_last10_matches_available,0.007633806
49,diff_season_shot_accuracy,0.0076011964
50,diff_venue_last5_goals_against,0.007566081
51,diff_last5_sot_against,0.0075656017
52,diff_last5_points,0.0075448793
53,diff_last5_conversion_rate,0.007527805
54,diff_last10_points,0.0074875713
55,diff_last10_sot_against,0.0074197426
56,diff_season_conversion_rate,0.0073966524
57,diff_venue_last5_win,0.0073879813
58,diff_venue_last5_goals_for,0.007342704
59,diff_last5_goals_for,0.00719154
60,diff_last10_shot_accuracy,0.0070349374
61,diff_last10_goals_for,0.00684814
62,diff_last5_win,0.0065291906
63,home_last5_matches_available,0.0
